"url", "latitude", "longitude", "title"
"http://community.timebanks.org/timebanks/gwinnett-gives","33.858456","-84.005264","Gwinnett Gives"
"http://community.timebanks.org/timebanks/timebank-upper-hutt","-41.109106","175.103494","TimeBank Upper Hutt"
"http://community.timebanks.org/timebanks/leavenworth-timebank","47.597193","-120.648073","Leavenworth Timebank"
"http://community.timebanks.org/timebanks/letsbmore","39.286237","-76.587176","LetsBMore"
"http://community.timebanks.org/timebanks/rangitikei-timebank","-40.068868","175.377999","Rangitikei Timebank"
"http://community.timebanks.org/timebanks/common-wealth-time-bank","27.336973","-82.51506","Common Wealth Time Bank"
"http://community.timebanks.org/timebanks/riverside-time-bank","33.981024","-117.37156","Riverside Time Bank"
"http://community.timebanks.org/timebanks/green-living-time-bank","-36.909406","174.798031","Green Living Time Bank"
"http://community.timebanks.org/timebanks/timebank-timebanks","38.96516","-77.06737","Timebank of Timebanks"
"http://community.timebanks.org/timebanks/santa-maria-time-bank","34.853933","-120.418145","Santa Maria Time Bank"
"http://community.timebanks.org/timebanks/temple-city-time-exchange","34.101608","-118.05606","Temple City Time Exchange"
"http://community.timebanks.org/timebanks/purchase-area-ky-time-bank","37.044233","-88.59046","Purchase Area KY Time Bank"
"http://community.timebanks.org/timebanks/monmouth","40.298807","-74.028518","Monmouth"
"http://community.timebanks.org/timebanks/hamilton-timebank","-37.786303","175.281149","Waikato TimeBank"
"http://community.timebanks.org/timebanks/care-village-community-exchange","33.069837","-117.250498","The Care Village Community Exchange"
"http://community.timebanks.org/timebanks/sustain-jefferson-time-bank","43.075784","-88.77595","Sustain Jefferson Time Bank"
"http://community.timebanks.org/timebanks/timexchange-waimakariri","-43.380467","172.658837","timeXchange Waimakariri"
"http://community.timebanks.org/timebanks/governors-club","35.855552","-79.029804","Governors Club"
"http://community.timebanks.org/timebanks/park-university-timebank","39.189462","-94.681092","Park University Timebank"
"http://community.timebanks.org/timebanks/embudo-valley-time-bank","36.2059","-105.852227","Embudo Valley Time Bank"
"http://community.timebanks.org/timebanks/hour-economy","38.147266","-79.074038","hOUR Economy"
