"title", "url", "latitude", "longitude", "description", "logo", "active_members", "3month_transactions"
"SEL de Fontaine - Is&Atilde;&uml;re","selfontaine.communityforge.net","","","Pour changer, &Atilde;&copy;changeons.","","13","33"
"SEL'F","selfosselaville.communityforge.net","","","Bienvenue au SEL'Fosses-la-ville","http://selfosselaville.communityforge.net/system/files/1506746_102864036746772_110772153149611913_n_0.jpg","6","3"
"SEL des Grandes Terres","selgrandesterres.communityforge.net","","","Le SEL du Sud Est Lyonnais","http://selgrandesterres.communityforge.net/system/files/echanges.png","21","57"
" SEL &Atilde;&reg; Guer","seliguer.org","",""," Bro SEL iande","http://seliguer.org/system/files/LogoSEL_i_Guer.png","11","12"
"seljaime","seljaime.communityforge.net","","","&Acirc;&laquo; La rencontre de l'autre vaut tout l'or du monde &Acirc;&raquo;","","12","6"
"SEL de la vall&Atilde;&copy;e de la Jogne","seljogne.ch","7.2046","46.6019","Donner - Recevoir - Partager - Se rencontrer","http://seljogne.ch/sites/seljogne.ch/files/logo_arbre_francais_0.jpg","26","33"
"SEL La Chaux-de-Fonds","sel-la-chaux-de-fonds.communityforge.net","","","Syst&Atilde;&uml;me d'Echanges Local","http://sel-la-chaux-de-fonds.communityforge.net/system/files/Logo.jpg","48","42"
"SEL La Pigouille","sellapigouille.org","","","Pour changer le Monde, Echangeons...","http://sellapigouille.org/sites/sellapigouille.org/files/sky_seldulac_logo.jpg","4","0"
"selmaichois.communityforge.net","selmaichois.communityforge.net","","","Toutes les grandeurs de ce monde ne valent pas un bon amis","","5","0"
"march'SEL","sel.marche.be","0","0","","","88","156"
"Sel de Monblanc en Sav&Atilde;&uml;s","sel-monblanc-saves.communityforge.net","","","sel-monblanc-saves.communityforge.net","http://sel-monblanc-saves.communityforge.net/system/files/logo_ok.jpg","22","39"
"SelOGAzion","selogazion.communityforge.net","","","La solidarit&Atilde;&copy; comme monnaie...","http://selogazion.communityforge.net/system/files/logo_selogazion.jpg","27","33"
"SEL'ons-nous","selonnous.communityforge.net","","","SYSTEME D'ECHANGE LOCAL DE CAVAILLON ET SES ENVIRONS","http://selonnous.communityforge.net/system/files/logoV1selonnous.png","28","27"
"S.E.L. d'Orvault &quot;Les Rousinettes&quot;","selorvaultrousinettes.communityforge.net","","","Le SEL pour cr&Atilde;&copy;er du lien","http://selorvaultrousinettes.communityforge.net/system/files/logo_rousinettes.jpg","7","0"
"seloullins.communityforge.net","seloullins.communityforge.net","","","le lien plut&Atilde;&acute;t que le bien - SEL Cailloullin","http://seloullins.communityforge.net/system/files/logo.jpg","66","168"
" SELozange ","selozange.communityforge.net","","","Le LIEN est plus important que le BIEN","http://selozange.communityforge.net/system/files/logo-selozange.png","14","21"
"SEL'Pastel","selpastel.lescigales.org","","","Pour changer, &Atilde;&copy;changeons!","","4","0"
"selpowaimes.be","selpowaimes.be","0","0","Les rimes font le po&Atilde;&uml;me","http://selpowaimes.be/sites/selpowaimes.be/files/sky_seldulac_logo.jpg","39","48"
"SEL Pyr&Atilde;&copy;n&Atilde;&copy;en","selpyreneen.org","0","0","Pour changer, Echangeons","http://selpyreneen.org/sites/selpyreneen.org/files/sky_seldulac_logo.gif","11","12"
"selracan37.fr","selracan37.fr","","","Echanges de services de biens et de savoirs","http://selracan37.fr/system/files/coqlogo2_0.jpg","20","54"
"selrit.communityforge.net","selrit.communityforge.net","","","Syst&Atilde;&uml;me d'Echanges Local de Saint Maixent L'Ecole et ses environs","http://selrit.communityforge.net/system/files/Logo.jpg","7","0"
"SEL Saint-Chamond","sel-saintchamond.communityforge.net","","","Pour changer, &Atilde;&copy;changeons","http://sel-saintchamond.communityforge.net/system/files/Bandeau_chat.png","2","0"
"SEL St M&Atilde;&copy;dard en Jalles","sel-saint-medard-en-jalles.communityforge.net","","","Syst&Atilde;&uml;me d'Echange Local, association &Atilde;&nbsp; but non lucratif","http://sel-saint-medard-en-jalles.communityforge.net/system/files/logo_sel_de_cergy_couleur.png","15","9"
"SEL Serein","selserein.be","5.509681","","Le SEL de SERAING ... (et BONCELLES, OUGREE, JEMEPPE) !","http://selserein.be/sites/selserein.be/files/sky_seldulac_logo.png","10","0"
"SEL de Saint Martin d'Uriage","selsmu.communityforge.net","","","","http://selsmu.communityforge.net/system/files/Raspberry_Pi_Logo.png","20","60"
"Selsourire - Smilets","selsourire.communityforge.net","","","Tendre la main c'est apporter un sourire &Atilde;&nbsp; l'autre","http://selsourire.communityforge.net/system/files/sourire-2.jpg","16","18"
"Sel de St-Jean","selstjean.communityforge.net","","","Syst&Atilde;&uml;me d'&Atilde;‰change Local de Saint-Jean Bonnefonds, La Talaudi&Atilde;&uml;re, Sorbiers","http://selstjean.communityforge.net/system/files/Capture dâ€™eÌcran 2016-09-23 aÌ€ 17.08.44.png","19","69"
"SEL St Seb","selstseb.asso.st","","","Pour changer, &Atilde;&copy;changeons...","http://selstseb.asso.st/system/files/Logo.gif","11","0"
"selsudsaintebaume.communityforge.net","selsudsaintebaume.communityforge.net","","","","http://selsudsaintebaume.communityforge.net/system/files/LogoSSSB-1.jpg","32","45"
"S.E.L. THONON-LEMAN","selthonon.communityforge.net","","","Se rendre service, &Atilde;&sect;a n'a pas de prix","http://selthonon.communityforge.net/system/files/logo-stl.jpg","7","12"
"Sel'titude","seltitude.communityforge.net","","","Le lien est plus important que le bien","http://seltitude.communityforge.net/system/files/LOGO Sel'titude dÃ©finitif.jpg","17","9"
"SEL de Villeneuve d'Ascq","sel-vascq.communityforge.net","","","&quot;L'Arbre&quot; : Le Lien est plus Important que le Bien","http://sel-vascq.communityforge.net/system/files/arbre_logo_0_0.gif","49","279"
"Sel Villepintois ","selvillepintois.communityforge.net","","","S&Atilde;&copy;lons ensemble &Atilde;&nbsp; Villepinte.....","http://selvillepintois.communityforge.net/system/files/FB_IMG_1475959083173.jpg","8","12"
"Selwyn Timebank","selwyntimebank.net.nz","172.4780765","-43.6423962","Time Banking refers to a pattern of reciprocal service exchange which uses units of time as currency.","","25","51"
"selygo.communityforge.net","selygo.communityforge.net","","","La rencontre de l'autre vaut tout l'or du monde","http://selygo.communityforge.net/system/files/SELyGo - logo - recherche couleurs - 5 (2).jpg","13","36"
"SEL des 100Boules","semboules.communityforge.net","","","&quot;Le lien vaut mieux que le bien&quot;","http://semboules.communityforge.net/system/files/LOGO ABEILLE 100BOULES COULEURS.jpg","5","18"
"SEL du S&Atilde;&copy;nonais","senonais.communityforge.net","3.273157","","Pour changer, &Atilde;&copy;changeons !","http://senonais.communityforge.net/sites/senonais.communityforge.net/files/sky_seldulac_logo.jpg","12","21"
"Solisel.communityforge.net","solisel.communityforge.net","","","&quot;L'horloge de la solidarit&Atilde;&copy; humaine&quot;","http://solisel.communityforge.net/system/files/16467370_379506089074277_344700650_n.jpg","12","9"
"souri'SEL ","sourisel68.fr","7.4072299","47.7478404","Syst&Atilde;&uml;me Echange Local","http://sourisel68.fr/system/files/logo_1.jpg","16","84"
"S&Atilde;&raquo;re en SEL","sureensel.communityforge.net","","","Un grain de SEL dans votre vie...","http://sureensel.communityforge.net/system/files/Logo 2.jpeg","5","6"
"suresnesensel.org","suresnesensel.communityforge.net","","","Chacun peut y mettre son grain","http://suresnesensel.communityforge.net/system/files/MMONOT_SEL_SURESNES_LOGO.png","18","27"
"SWAPENGO","swapengo.communityforge.net","","","Booste ta vie gr&Atilde;&cent;ce &Atilde;&nbsp; ton r&Atilde;&copy;seau !","http://swapengo.communityforge.net/system/files/LogoSwapengo3 copie.jpg","1","0"
"Club TalenSeL","talensel.communityforge.net","","","Syst&Atilde;&uml;me d'&Atilde;&copy;change local ","http://talensel.communityforge.net/system/files/logo_grand.png","24","0"
"TAUSCHRING EIFELGOLD","tauschring-eifelgold.be","","","Partnerschaftliches Geben und Nehmen","http://tauschring-eifelgold.be/system/files/Logo_TR_Eifelgold_kl_0_0.jpg","17","12"
"C-S-R-F-V","tcsrfv.communityforge.net","6.929273","46.989987","Coordination Suisse Romande &amp; France Voisine","http://tcsrfv.communityforge.net/system/files/csrfv.jpg","16","9"
"terrederichesse.communityforge.net","terrederichesse.communityforge.net","","","Terre de &quot;R&Atilde;&copy;seau Inter-Communautaire Humaniste d' Echanges Sociaux Solidaires et Equitable&quot;","http://terrederichesse.communityforge.net/system/files/logo - Copie_0.jpg","4","0"
"tersel07.communityforge.net","tersel07.communityforge.net","","","un SEL pr&Atilde;&uml;s de chez vous","http://tersel07.communityforge.net/system/files/T07.logo ombreÌ_0.jpg","9","6"
"TigySEL","tigysel.communityforge.net","","","Service d'Echange Local des environs de Tigy","http://tigysel.communityforge.net/system/files/LOGO TIGYSEL.png","7","3"
"Tous en SEL","tousensel.com","0","0","Le SEL de Maisons-Laffitte, Mesnil Le Roi, Sartrouville","http://tousensel.com/system/files/LogoMLDD-TousEnSel-site.png","47","54"
"troqueurs-de-lin.communityforge.net","troqueurs-de-lin.communityforge.net","","","Mettez ici votre slogan","http://troqueurs-de-lin.communityforge.net/system/files/lin.jpg","5","0"
"tuffe-faluns.communityforge.net","tuffeetfaluns49.fr","","","Tuffe et Faluns","http://tuffeetfaluns49.fr/system/files/LOGO Tuffe et Faluns.jpg","12","0"
"uneileversel","uneileversel.communityforge.net","","","donne la priorite au relationnel face &Atilde;&nbsp; la monnaie","http://uneileversel.communityforge.net/system/files/logo_sel_70x30_couleur.png","5","0"
"Unis-Vers-Sel (asbl)","unis-vers-sel.net","0","0","Soyons dans le pr&Atilde;&copy;sent, partageons notre temps!","http://unis-vers-sel.net/sites/unis-vers-sel.net/files/Log_72ppp.png","53","126"
"UniverSel","universlesel.communityforge.net","5.078709125518799","49.89420588298097","UniverSel Bertrix-Paliseul. Ardennais certes, mais solidaires! ","http://universlesel.communityforge.net/sites/univers-sel.be/files/sky_seldulac_logo.png","19","27"
"Le Sel du M&Atilde;&copy;l&Atilde;&uml;ze","valdeblore.communityforge.net","","","cr&Atilde;&copy;er du lien en montagne","http://valdeblore.communityforge.net/system/files/logo_meleze.jpg","27","21"
"VexinSEL","vexinsel.communityforge.net","","","Troc &amp; Trucs","http://vexinsel.communityforge.net/system/files/Logocouleur.jpg","4","0"
"video.communityforge.net","video.communityforge.net","","","Ensemble !","","4","0"
"viens.communityforge.net","viens.communityforge.net","","","Mettez ici votre slogan","http://viens.communityforge.net/system/files/image viens.png","1","0"
"Westie LETS","westielets.org.uk","0","0","","http://westielets.org.uk/sites/westielets.org.uk/files/westie_logo_websize_0.jpg","8","0"
"selpaysdewissembourg.communityforge.net","wissensel.communityforge.net","","","&quot;l'horloge de la solidarit&Atilde;&copy; humaine&quot;","http://wissensel.communityforge.net/system/files/16467370_379506089074277_344700650_n.jpg","3","9"
