title,latitude,longitude,description,url
44 Sel du Lac,47.12413,-1.63021,44860 Saint-Aignan-Grandlieu,
44 Le Bign'En Sel,47.09858,-1.49027,44140 Le Bignon,
44 SEL'Titude,47.34705,-1.28413,44521 OUDON,
44 Troc au SEL Chapelain,47.29957,-1.55063,44240 La Chapelle sur Erdre,http://www.troc-au-sel-chapelain.fr
44 Gwenn SEL,47.328,-2.42975,44350 GUERANDE,https://gwennsel.org 
44 Nantes-en-SEL,47.22395,-1.5408,44000 Nantes,http://nantes-en-sel.communityforge.net/
44 Sel St Seb,47.19954,-1.50187,44230 St Sebastien sur Loire,http://selstseb.communityforge.net/
44 Sel du Don,47.62867,-1.83433,44290 Guéméné-Penfao,http://seldudon.communityforge.net/
44 Ancenis SEL,47.36964,-1.19868,44150 Saint Géréon,http://www.ancenisel.fr
44 Sel Sud Estuaire,47.28741,-2.03154,44560 Paimboeuf,
44 SEL de SEM,47.27645,-1.78058,44360 Saint Étienne de Montluc,http://seldesem.communityforge.net
44 Arc en Sel Ligérien,47.38606,-1.03203,44370 LOIREAUXENCE - VARADES,https://arcensel.wordpress.com
44 Arc en Sel,47.41225,-1.96762,44750 Campbon,http://arcenselcampbon.communityforge.net/
44 le SEL du Coin,47.19555,-1.72419,44640 St Jean de Boiseau,http://leselducoin.communityforge.net/
44 SEL Sautronnais,47.27035,-1.67854,44880 Sautron,
45 TigySEL,47.79512,2.19796,45510 Tigy,
45 Grenier à SEL,47.77807,1.63352,45190 Beaugency ,http://beaugen.communityforge.net
45 SEL Abrayliens ,47.91477,1.97544,45800 Saint-Jean de Braye,http://abrayliens.communityforge.net/
45 JESS.sel de Jargeau,47.8666,2.12226,45150 Jargeau,http://www.seldejargeau.sitew.fr
45 Loiret sel,47.69805,2.62475,45500 Gien,www.loiret-sel.fr
45 BOISCO-SEL,48.03728,2.38282,45340 BOISCOMMUN,http://boiscosel.toile-libre.org
46 Sel de Figeac,44.60828,2.03287,46100 Figeac,https://seldefigeac.fr/
46 TrocLot,44.51251,1.26096,46150 Labastide du Vert,
47La Claie d'Echanges,44.38866,0.81958,47140 Penne d'Agenais,https://selvsl47.wixsite.com/laclaiedechanges
47 SEL d'Ici et d'Ailleurs,44.39724,0.80493,47140 St Sylvestre sur Lot,
47 Unis vers Sel de l'Agenais,44.25564,0.62989,47510 Foulayronnes,http://unisverssel.fr
47 SELADONS SYSTEME D ECHANGE LOCAL EN LOT ET GARONNE,44.4082,0.70725,47300 Villeneuve sur Lot,http://seladons47.communityforge.net 
49 Terroir de Loire,47.40023,-0.37174,49320 Blaison-Saint-Sulpice,https://terroirdeloire.wordpress.com
49 Fi'sel,47.04519,-0.88069,49300 Cholet,http://selcholetais.blogspot.fr/
49 Bo'Sel,47.3516,-0.76377,49290 Chalonnes sur Loire,http://lebosel.wixsite.com/bosel
49 SEL Angevin,47.45191,-0.54034,49000 Angers avenue De Lattre de Tassigny,http://selangevin.fr
49 Sel sud saumurois tuffe et faluns,47.19361,-0.27518,49700 Doué la Fontaine,http://tuf.faluns.free.fr/
49 Troglo'SEL,47.22324,0.02818,49730 Turquant,
50 Sel'in,48.8337,-1.56143,50400 Granville 277 rue des vikings,Http://www.sel-in.org
52 SEL SUD 52,47.99675,5.53743,52140 MONTIGNY-LE-ROI ,
53 SEL'Rit,48.06789,-0.76464,53000 LAVAL,http://selrit53.communityforge.net/
54 Système d'Echange Local du Saintois,48.48713,6.08833,54330 Vézelise,
54 SEL'EST DU BASSIN DE POMPEY,48.77387,6.10711,54340 POMPEY,http://selest-bassin-pompey.communityforge.net
55 EtainSEL,49.21758,5.61661,55400 Etain,
56 Unis Vers SEL,47.81655,-2.13311,56910 CARENTOIR,http://unis-vers-sel56.communityforge.net/
