"url", "latitude", "longitude", "WKT", "title", "description", "logo", "active_members", "3month_transactions"
"sel.de.dol.fr","-1.7612457","48.5557051","","SEL de la Vall&Atilde;&copy;e du Guyoult","En SEL ensemble","http://sel.de.dol.fr/system/files/logo.png","42","0"
"seldegrenoble.communityforge.net","5.7245636","45.1888124","","SEL de Grenoble","L'&Atilde;&copy;change solidaire sans argent pour faire prosp&Atilde;&copy;rer les liens","http://seldegrenoble.communityforge.net/system/files/images_0.jpg","77","0"
"seldejuvignac.communityforge.net","3.812357","43.611297","","seldejuvignac.communityforge.net","Le lien plus important que le bien","http://seldejuvignac.communityforge.net/system/files/logo def.jpg","14","0"
"seldelaconfluence.fr","2.0815659","49.000943","","Sel de la Confluence","Favoriser le lien plut&Atilde;&acute;t que le bien ","http://seldelaconfluence.fr/system/files/barre_a_roue.png","34","0"
"seldelacotesaintandre.communityforge.net","5.2789307","45.3675844","","SEL de La C&Atilde;&acute;te Saint-Andr&Atilde;&copy; ","Pour changer, &Atilde;&copy;changeons !","http://seldelacotesaintandre.communityforge.net/system/files/griottes_4.png","41","0"
"seldelagondoire.org","2.7392864","48.856527","","SEL de la Gondoire","Venez mettre votre grain de sel ... &Atilde;&copy;changez!","http://seldelagondoire.org/system/files/Logo_0.jpg","50","0"
"seldelamoliere.ch","6.822778","46.7903052","","Syst&Atilde;&uml;me d'Echange Local de la Moli&Atilde;&uml;re","Pour &Atilde;&copy;changer dans la Broye","http://seldelamoliere.ch/sites/seldelamoliere.ch/files/SEL sans texte.gif","50","0"
"seldelarmagnac.communityforge.net","-0.103563","43.867306","","Sel de l'armagnac","Tous en sel ! ","http://seldelarmagnac.communityforge.net/system/files/images.png","4","0"
"sel-delemont.ch","7.3436737","47.3659202","","Sel R&Atilde;&copy;gion Del&Atilde;&copy;mont","Donner, recevoir, se rencontrer, partager !","http://sel-delemont.ch/system/files/logo_sel_region_delemont_0.jpg","65","0"
"seldeloire.org","0.6811523","47.3983492","","Sel de Loire","Syst&Atilde;&uml;me d'Echange Local","http://seldeloire.org/system/files/bandeau_loire_0.jpg","77","0"
"seldemer.net","0.379715","49.7564289","","SEL de MER","Une &Atilde;&copy;conomie sans argent pour plus d'&Atilde;&copy;changes, pour plus de liens","http://seldemer.net/sites/seldemer.net/files/sky_seldulac_logo.png","10","0"
"seldenacre.communityforge.net","-0.3534508","49.3173455","","seldenacre.communityforge.net","Sel Coeur de Nacre, r&Atilde;&copy;seau d'entraide &Atilde;&nbsp; Luc sur mer","http://seldenacre.communityforge.net/system/files/logo.jpg","49","0"
"seldepaname.communityforge.net","2.3431778","48.8557928","","SEL de Paname","Sans la g&Atilde;&copy;n&Atilde;&copy;rosit&Atilde;&copy; d'&Atilde;&copy;changer, il n'est point de lien de valeur","http://seldepaname.communityforge.net/system/files/logoSELdePaname_ombre2 b.jpg","152","0"
"seldereims.asso.st","4.0292358","49.2660123","","SEL.Reims","Pour changer... &Atilde;&copy;changeons sans argent!","http://seldereims.asso.st/system/files/illustrationBase35p.jpg","131","0"
"selderisle.fr","0.5142975","49.355992","","Sel de Risle","Votre slogan ici","http://selderisle.fr/sites/selderisle.fr/files/sel3_1_0.jpg","44","0"
"selderodez.communityforge.net","2.575986","44.349389","","SEL de Rodez","Syst&Atilde;&uml;me d'Echange Local du ruth&Atilde;&copy;nois","http://selderodez.communityforge.net/system/files/banniere sel de rodez.png","18","0"
"seldesbastides.communityforge.net","0.397723","44.668628","","seldesbastides.communityforge.net","Pour changer, &Atilde;&copy;changeons !","http://seldesbastides.communityforge.net/system/files/LOGO SEL 3.jpg","15","0"
"seldesecluses.communityforge.net","2.7958488","48.3998046","","SEL des Ecluses","La rencontre de l&acirc;۪autre vaut tout l&acirc;۪or du monde","http://seldesecluses.communityforge.net/system/files/LOGO_SEL.jpg","90","0"
"seldeseine.eu","1.10","49.44","","SEL de Seine","Pour changer, &Atilde;&copy;changeons ! Car le lien est plus important que le bien.","http://seldeseine.eu/sites/seldeseine.eu/files/LogoSeldeSeine5_0.png","119","0"
"seldesete-thau.communityforge.net","3.7051392","43.4190139","","seldesete-thau.com","Soyons s&Atilde;&copy;lidaires &Atilde;&nbsp; S&Atilde;&uml;te et dans le Bassin de Thau","http://seldesete-thau.communityforge.net/system/files/logo.jpg","30","0"
"seldesevre.org","2.2127151","48.8213325","","seldesevre.org","&quot;Il faut remplacer l'exploit solitaire par une r&Atilde;&copy;ussite solidaire&quot; Albert Jacquard","http://seldesevre.org/system/files/CSCJaunaisBlordiere_quadri.jpg","30","0"
"seldeslauzes.communityforge.net","5.40802","45.8087004","","SEL des Lauzes","Osez la Lauze","http://seldeslauzes.communityforge.net/system/files/Lauzes_0.jpg","117","0"
"seldesoulanges.org","4.5340919","48.7901284","","SEL de Soulanges","Mettez ici votre slogan","http://seldesoulanges.org/sites/seldesoulanges.org/files/sky_seldulac_logo.png","8","0"
"seldesrives.ch","6.9303131","46.9907918","","sel des rives","Pour changer &Atilde;&copy;changeons","http://seldesrives.ch/sites/seldesrives.ch/files/sky_seldulac_logo.jpg","58","0"
"seldethiais94.communityforge.net","2.3874664","48.7607154","","Seldethiais94","Convivialit&Atilde;&copy; et Solidarit&Atilde;&copy;!","http://seldethiais94.communityforge.net/system/files/logo SEL de Thiais_0.jpg","45","0"
"seldeversailles.communityforge.net","2.137528","48.7996272","","SEL de Versailles","Pour changer &Atilde;&copy;changeons car le lien est plus important que le bien","http://seldeversailles.communityforge.net/system/files/logoSEL_0.jpg","75","0"
"seldevillejuif.communityforge.net","2.3575974","48.7919378","","Sel de Villejuif","Le SEL qui p&Atilde;&copy;tille","http://seldevillejuif.communityforge.net/system/files/Svilejuif_0.jpg","59","0"
"seldicietdailleurs.communityforge.net","0.804935","44.397248","","Sel d'Ici et d'Ailleurs","Mettez ici votre slogan","","2","0"
"seldille.org","-1.6620255","48.2731395","","SEL d'Ille","","http://seldille.org/system/files/logo-val-dille.gif","11","0"
"seldrouais.org","1.3623047","48.7308322","","SEL DU DROUAIS","Je rends service, tu rends service on re&Atilde;&sect;oit tous ...","http://seldrouais.org/system/files/logosel.jpg","26","0"
"selducitron.communityforge.net","7.49267578125","43.77109381775651","","SEL du Citron","Echangeons des Zestes de Citron - et de convivialit&Atilde;&copy; !","http://selducitron.communityforge.net/sites/selducitron.communityforge.net/files/sky_seldulac_logo.gif","96","0"
"seldugabardan.communityforge.net","-0.4974747","43.8919547","","SEL DU GABARDAN","Le lien est plus important que le bien","http://seldugabardan.communityforge.net/system/files/index.jpg","19","0"
"seldugenevois.fr","6.2258148","46.1883875","","SEL d'Annemasse - Genevois","Pour changer, &Atilde;&copy;changeons !","http://seldugenevois.fr/sites/seldugenevois.fr/files/sky_seldulac_logo.jpg","77","0"
"seldugobanais.communityforge.net","3.3803558","49.5993629","","Sel du Gobanais","Echangeons Solidaire !","","20","0"
"selduhautgiffre.communityforge.net","6.588406","46.099185","","SEL","Le lien est plus important que le bien","http://selduhautgiffre.communityforge.net/system/files/logo_1.jpg","57","0"
"selduhavre.communityforge.net","0.1153564","49.4913226","","SEL du Havre","Echanger sans argent, &Atilde;&sect;a change ! ","http://selduhavre.communityforge.net/system/files/logo-selduhavre.jpg","62","0"
"seldulac.ch","6.142161","46.1983922","","SELduLac","Echangeons, pour changer !","http://seldulac.ch/sites/seldulac.ch/files/sky_seldulac_logo.gif","88","0"
"seldumaconnais.communityforge.net","4.8298645","46.3082842","","Sel","","http://seldumaconnais.communityforge.net/system/files/sel-couleurs-a-imprimer-1.jpg","108","0"
"seldumaine.fr","0.1922334","48.000","","SEL du Maine","Un Syst&Atilde;&uml;me d'Echanges Local sarthois (72)","http://seldumaine.fr/sites/seldumaine.fr/files/logo SEL site.gif","141","0"
"seldumantois.communityforge.net","1.7207336","48.9793157","","seldumantois.communityforge.net","Bienvenue dans le SEL du Mantois !","http://seldumantois.communityforge.net/system/files/LogoSelduMantois.jpg","54","0"
"seldupaysdegex.fr","6.0596466","46.3343656","","Syst&Atilde;&uml;me d'Echanges Local","","http://seldupaysdegex.fr/system/files/logo colibris_0.png","44","0"
"sel-eden.communityforge.net","4.537611","50.1357921","","sel-eden","SEL Emergence D'une Ere Nouvelle","","3","0"
"seleil.communityforge.net","4.9915695","44.3857101",""," Sel'eil 84 / 26 ","La solidarit&Atilde;&copy; est pr&Atilde;&copy;cieuse","http://seleil.communityforge.net/system/files/valreas.jpg","18","0"
"selenbugey.communityforge.net","5.6651688","45.8754293","","Sel en Bugey","&quot;Le lien est plus important que le bien&quot;","http://selenbugey.communityforge.net/system/files/SEL-EN-BUGEY_logo couleur.jpg","51","0"
"selenjoue.org","0.6461334","47.3518499","","Sel de Jou&Atilde;&copy; les Tours","Systeme d'Echange Local","http://selenjoue.org/system/files/logo.jpg","102","0"
"selensemble.org","4.8106384","43.9463612","","SEL Ensemble Avignon et Environs","Le syst&Atilde;&uml;me d'&Atilde;&copy;change local d'Avignon et environs","http://selensemble.org/system/files/sel-ensemble_0.png","112","0"
"selentraide.communityforge.net","-1.6167068","47.1747783","","selentraide.communityforge.net","&quot;La rencontre de l'autre vaut tout l'or du monde&quot;","http://selentraide.communityforge.net/system/files/Logo Sel'entraide.jpg","58","0"
"selenvigne.fr","2.9432202","42.9201664","","selenvigne.fr","Pour changer, &Atilde;&copy;changeons","http://selenvigne.fr/system/files/Logo sel.jpg","24","0"
